"items","freq","N"
"synthrope.bin",316,651
"sheet.bin",274,651
"fishline.mono.bin",255,651
"fishline.tang.bin",136,651
"bag.bin",116,651
"fishnet.bin",107,651
"other.plas.bin",101,651
"clothing.bin",49,651
"bottles.plas.bin",46,651
"rope.bin",46,651
"other.misc.bin",44,651
"other.rub.bin",35,651
"other.met.bin",26,651
"crates.bin",23,651
"cans.drink.bin",16,651
