"items","freq","N"
"sheet.bin",995,2147
"fishline.mono.bin",716,2147
"other.plas.bin",615,2147
"synthrope.bin",598,2147
"bag.bin",436,2147
"fishline.tang.bin",292,2147
"other.misc.bin",235,2147
"wood.proc.bin",234,2147
"other.rub.bin",205,2147
"clothing.bin",157,2147
"fishnet.bin",143,2147
"gloves.bin",121,2147
"cans.drink.bin",120,2147
"rope.bin",119,2147
"band.bin",108,2147
