"items","freq","N"
"synthrope.bin",1531,5652
"sheet.bin",1480,5652
"fishline.mono.bin",1274,5652
"bag.bin",764,5652
"fishline.tang.bin",694,5652
"other.plas.bin",598,5652
"fishnet.bin",283,5652
"clothing.bin",219,5652
"rope.bin",216,5652
"other.misc.bin",195,5652
"band.bin",166,5652
"gloves.bin",135,5652
"wood.proc.bin",133,5652
"other.rub.bin",129,5652
"other.met.bin",119,5652
