"items","freq","N"
"synthrope.bin",2462,9808
"sheet.bin",2184,9808
"fishline.mono.bin",1933,9808
"bag.bin",1247,9808
"fishline.tang.bin",944,9808
"other.plas.bin",874,9808
"fishnet.bin",581,9808
"rope.bin",362,9808
"clothing.bin",345,9808
"band.bin",322,9808
"other.misc.bin",294,9808
"bottles.plas.bin",293,9808
"caps.bin",225,9808
"gloves.bin",209,9808
"other.rub.bin",204,9808
