"items","freq","N"
"sheet.bin",1314,4051
"synthrope.bin",1240,4051
"fishline.mono.bin",1071,4051
"fishline.tang.bin",598,4051
"bag.bin",591,4051
"other.plas.bin",495,4051
"fishnet.bin",228,4051
"clothing.bin",193,4051
"rope.bin",170,4051
"other.misc.bin",160,4051
"band.bin",144,4051
"wood.proc.bin",118,4051
"gloves.bin",112,4051
"other.rub.bin",102,4051
"bottles.plas.bin",95,4051
